Name,Tags,Added to map?,Link,Notes
Airedale & Wharfedale Lines (Shipley Triangle),Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/07/Airedale__Wharfedale_Lines_Shipley_Triangle.jpg,
Aldershot,"Community Project, Community Projects, Glenn Mitchell, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2012/01/Aldershot.jpg,-
Aldgate Junction,"Aldgate, Community Project, Community Projects, Junction, Keith Hazelton, United Kingdom",FALSE,,LUL
Alton,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/06/Alton.bmp,
Bakerloo Line,"Bakerloo, BWJM, Community Project, Community Projects, Keith Hazelton, United Kingdom",FALSE,,LUL
Barnham and Ford,"Barnham, Collaboration, Community Project, Community Projects, Ford, GWR, ROSDevTeam, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/02/BarnhamandFord.jpg,-
Basingstoke,"Basingstoke, Community Project, Community Projects, Glenn Mitchell, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2012/02/Basingstoke-scaled.jpg,-
Billericay to Southminster and Southend Victoria,"Anthony Sheehy, Billericay, Community Project, Community Projects, Southend Victoria, Southminster, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/04/BSSV-Operational1.jpg,-
Blackpool,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/11/Blackpool.jpg,
Bognor Regis,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/05/Bognor-Regis.bmp,
Bristol Area,"Bristol, Community Project, Community Projects, Krizar, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2019/02/Bristol_Area.png,-
Bury St Edmuds,Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/01/Bury-St-Edmunds.jpg,-
Cambrian Line,"Cambrian Line, Community Project, Community Projects, Mark Jones, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/Cambrian-scaled.jpg,-
Cardiff Valley Lines,"Cardiff, Community Project, Community Projects, Lines, ROSDevTeam, United Kingdom, Valley",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/09/ValleyLines-scaled.jpg,-
Carlisle,Csaba,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/01/carlisle-scaled.bmp,-
Castlefield Corridor,"Castlefield Corridor, Community Project, Community Projects, RailOSDevTeam, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/09/CastlefieldCorridor.png,
Central Line - London Underground,"Community Project, Community Projects, Frederick, London, United Kingdom",FALSE,,LUL
"Charing Cross, Cannon Street & London Bridge","Anthony Sheehy, Community Project, Community Projects, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/07/Charing-Cross-Canon-St-London-Bridge-scaled.jpg,-
Chatham Main Line Rochester to Faversham + Medway Valley & Sheerness,MissCatTrap,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/02/ChathamMainLine-Medway.bmp,-
Chatham/Southeastern Main Line Chislehurst Junction – Shortlands to Swanley & Grove Park to Petts Wood,MissCatTrap,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/02/ChathamMainLine-Chislehurst-Light.jpg,-
Chiltern Railways by Ian Walker,"Chiltern, Community Project, Community Projects, Ian Walker, Railways, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2018/02/Chiltern-Railways-v2.jpg,-
Chiltern Railways by Krizar,"2019, Chiltern Railways, Community Project, Community Projects, Krizar, UK",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/02/Chiltern_Railways-by-Krizar-1-scaled.jpg,-
Clapham Junction,"Clapham Junction, Community Project, Community Projects, Daniel Gill, London",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2021/02/ClaphamJunction.bmp,-
Cornwall,"Community Project, Community Projects, Cornwall, Oxalin, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/10/Cornwall-update.jpg,-
Crewe,RailOSDevTeam,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/05/Crewe.jpg,
CrossCity Line (South),Oxalin,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2023/07/Cross_City_Line_South.jpg,
Croydon,Daniel Gill,TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2022/02/Croydon.jpg,-
Darlington and Middlesbrough,"Community Project, Community Projects, Darlington, Josco, Middlesbrough, United Kingdom",TRUE,https://www.railwayoperationsimulator.com/wp-content/uploads/2020/12/Darlington-and-Middlesbrough-scaled.jpg,
District Line – Western Area,"Community Project, Community Projects, District, Keith Hazelton, Line, United Kingdom",FALSE,,LUL
Docklands Light Railway (DLR),"Community Project, Community Projects, DLR, Docklands, JK, Light, London, Railway, United Kingdom",FALSE,,LUL
Earls Court,"Community Project, Community Projects, Earls Court, Keith Hazelton, London, Underground, United Kingdom",FALSE,,LUL
Earls Court District Line,"Community Project, Community Projects, James Underwood, London, Underground, United Kingdom",FALSE,,LUL
